# 1 ~ 3
#separator:tab
#html:true
Go语言：核心优势是什么？	"<pre><code class=""language-text"">1. 原生并发支持（goroutine/channel） 2. 编译速度快 3. 部署简单 4. 丰富的标准库</code></pre>"
Go语言中：GOPATH的作用？	"<pre><code class=""language-text"">定义工作区目录结构（src/pkg/bin），存放项目代码、依赖包和可执行文件</code></pre>"
Go语言：GOROOT和GOPATH区别？	"<pre><code class=""language-text"">GOROOT是Go安装目录，GOPATH是工作区目录（可配置多个）</code></pre>"
Go语言中：命令源码文件特征？	"<pre><code class=""language-go"">package main  // 必须属于main包

func main() {  // 必须包含main函数
    // 直接编译执行
}</code></pre>"
Go语言中：声明库源码文件	"<pre><code class=""language-go"">// mylib.go
package mylib  // 非main包声明

func Helper() {  // 可复用函数
    // 功能实现
}</code></pre>"
Go语言中：init函数执行时机	"<pre><code class=""language-go"">package main

import ""fmt""

func init() { fmt.Println(""init1"") }
func init() { fmt.Println(""init2"") }  // 每个包多个init函数

func main() {
    // 自动在main前执行
}</code></pre>"
Go语言：程序初始化顺序	"<pre><code class=""language-go"">package main

import ""pkg1""  // 1.初始化导入包

var count = 1  // 2.包级变量声明

func init() { /* 3.init函数 */ }  // 4.main函数</code></pre>"
Go语言中：访问外部包程序实体	"<pre><code class=""language-go"">// 外部包定义
package external

// 首字母大写的公开实体
func PublicFunc() {}

// 外部调用
import ""external""

func main() {
    external.PublicFunc()  // 包名.实体名
}</code></pre>"
Go语言中：多工作区包查找顺序	"<pre><code class=""language-text"">按GOPATH配置顺序查找（第一个匹配的包会被使用）</code></pre>"
Go语言中：go install命令作用	"<pre><code class=""language-bash""># 编译库源码文件
go install mylib  → pkg/.../mylib.a

# 编译命令源码文件
go install cmd   → bin/cmd</code></pre>"
Go语言中：自定义命令参数	"<pre><code class=""language-go"">package main

import (
    ""flag""
    ""fmt""
)

func main() {
    var name string
    // 绑定命令行参数
    flag.StringVar(&name, ""name"", ""guest"", ""用户名"")
    flag.Parse()
    fmt.Println(""Hello"", name)
}</code></pre>"
Go语言中：引用库源码文件	"<pre><code class=""language-go"">// 通过import导入路径
import (
    ""mylib""             // 本地包
    ""github.com/user/lib""  // 远程包
)

func main() {
    mylib.Function()
}</code></pre>"
Go语言中：工作区src目录作用	"<pre><code class=""language-text"">存储所有源码（.go文件），按包路径组织</code></pre>"
Go语言中：main函数特殊要求	"<pre><code class=""language-go"">package main

// 1. 无参数 2. 无返回值
func main() {  // 3. 必须作为程序入口
    // 程序逻辑
}</code></pre>"
Go语言中：跨包调用规则	"<pre><code class=""language-go"">// 包A
package A

var PublicVar int   // 可导出
var privateVar int  // 不可导出

// 包B调用
import ""A""

func main() {
    A.PublicVar = 10  // 正确
    // A.privateVar = 5  // 编译错误
}</code></pre>"
Go语言中：GOPATH的bin目录作用	"<pre><code class=""language-text"">存放go install生成的可执行文件（命令源码文件编译结果）</code></pre>"
Go语言中：同目录多main包限制	"<pre><code class=""language-go"">// 错误示例：
// file1.go
package main  // ❌ 与file2冲突

// file2.go
package main  // ❌ 所有文件必须同属一个包</code></pre>"
Go语言中：init函数调用限制	"<pre><code class=""language-go"">func init() {}  // 自动执行

func main() {
    init()  // ❌ 编译错误：不能显式调用
}</code></pre>"
Go语言中：小写函数跨包调用	"<pre><code class=""language-go"">package util

func helper() {}  // 小写开头私有函数

// 外部调用
import ""util""

util.helper()  // ❌ 编译错误：仅包内可见</code></pre>"

# 4 ~ 6
#separator:tab
#html:true
